iter	Passed	Remaining
0	76	76184
1	77	38905
2	78	26032
3	78	19596
4	79	15733
5	79	13155
6	79	11314
7	80	9933
8	81	8923
9	81	8093
10	82	7410
11	83	6846
12	84	6387
13	84	5981
14	85	5619
15	86	5307
16	86	5027
17	87	4763
18	88	4566
19	89	4366
20	89	4183
21	90	4018
22	91	3867
23	91	3728
24	92	3600
25	92	3482
26	93	3372
27	94	3270
28	94	3176
29	95	3092
30	96	3011
31	96	2933
32	97	2860
33	98	2791
34	99	2733
35	99	2672
36	100	2613
37	101	2557
38	101	2507
39	102	2457
40	103	2410
41	103	2365
42	104	2320
43	104	2272
44	104	2227
45	105	2184
46	105	2143
47	106	2104
48	106	2068
49	106	2032
50	107	1997
51	107	1963
52	108	1930
53	108	1899
54	108	1869
55	109	1839
56	109	1812
57	109	1784
58	110	1758
59	110	1732
60	110	1707
61	111	1683
62	111	1659
63	111	1637
64	112	1615
65	112	1593
66	112	1573
67	113	1553
68	113	1535
69	114	1516
70	114	1497
71	114	1479
72	115	1462
73	115	1445
74	115	1429
75	116	1413
76	116	1397
77	116	1382
78	117	1367
79	119	1369
80	119	1354
81	119	1341
82	120	1327
83	120	1314
84	120	1301
85	122	1299
86	122	1290
87	123	1277
88	123	1264
89	123	1252
90	124	1241
91	124	1229
92	124	1218
93	125	1207
94	125	1197
95	126	1186
96	126	1175
97	126	1163
98	126	1153
99	127	1144
100	127	1135
101	127	1126
102	128	1117
103	128	1108
104	128	1099
105	129	1090
106	129	1082
107	130	1074
108	130	1066
109	130	1059
110	131	1051
111	131	1043
112	131	1035
113	132	1028
114	132	1020
115	133	1013
116	133	1006
117	133	999
118	134	993
119	134	986
120	134	979
121	135	972
122	135	966
123	135	960
124	136	953
125	136	947
126	136	941
127	137	935
128	137	930
129	138	924
130	138	918
131	139	914
132	139	908
133	139	903
134	140	897
135	140	894
136	141	890
137	141	885
138	142	880
139	142	875
140	142	870
141	143	865
142	143	859
143	143	855
144	144	850
145	144	845
146	144	840
147	145	836
148	145	831
149	145	826
150	146	821
151	146	816
152	146	812
153	147	808
154	147	803
155	147	799
156	148	795
157	148	791
158	148	787
159	149	783
160	149	779
161	149	775
162	150	771
163	150	768
164	151	764
165	151	760
166	151	756
167	152	753
168	152	749
169	152	746
170	153	742
171	153	739
172	153	735
173	154	732
174	154	728
175	154	725
176	155	721
177	155	718
178	155	714
179	156	711
180	156	707
181	156	704
182	156	700
183	157	697
184	157	693
185	158	691
186	158	688
187	159	690
188	160	688
189	160	685
190	161	682
191	161	679
192	161	676
193	162	673
194	162	669
195	162	666
196	162	663
197	163	661
198	163	658
199	163	655
200	164	652
201	164	650
202	164	647
203	165	644
204	165	642
205	165	639
206	166	636
207	166	634
208	166	631
209	167	629
210	167	626
211	167	624
212	168	622
213	168	619
214	169	617
215	169	615
216	169	612
